,calories,parsed_ingredients
0,189.0,"[882, 692, 351, 259, 93, 89, 78, 72, 48, 29, 27, 21, 16, 0]"
1,321.0,"[720, 691, 654, 405, 364, 322, 288, 97, 16, 0]"
2,251.0,"[522, 352, 46, 45, 42]"
3,1606.0,"[884, 882, 378, 322, 274, 274, 163, 61, 27, 21, 0]"
4,280.0,"[884, 654, 304, 297, 251, 148, 97, 48, 36, 21, 0]"
5,819.0,"[882, 692, 364, 362, 318, 97, 94, 86, 61, 36, 36, 21, 18, 15]"
6,234.0,"[180, 17]"
7,267.0,"[558, 405, 252, 247]"
8,567.0,"[500, 243, 242, 27, 17, 0]"
9,939.0,"[882, 337, 61, 17, 0]"
10,325.0,"[500, 242, 179, 17]"
11,58.0,"[628, 405, 97]"
12,524.0,"[450, 405, 242]"
13,757.0,"[720, 346, 201, 17]"
14,560.0,"[251, 83, 43, 0]"
15,100.0,"[720, 405, 194, 97]"
16,240.0,"[423, 318, 89, 17]"
17,180.0,"[882, 251, 196, 93, 0]"
18,206.0,"[882, 353, 345, 230, 27, 0]"
19,33.0,"[884, 882, 340, 333, 304, 31, 0]"
20,454.0,"[882, 264, 251, 97, 0]"
21,831.0,"[882, 431, 251, 77, 0, 0]"
22,209.0,"[882, 242, 40, 27, 0]"
23,16.0,"[405, 351, 282, 0]"
24,391.0,"[857, 456, 378, 371, 368, 334, 304, 247, 216, 93, 40, 0]"
25,311.0,"[882, 654, 562, 405, 364, 263, 247, 182, 115, 97, 97, 97, 89, 61, 16, 0]"
26,1033.0,"[267, 67, 40, 37, 27, 16]"
27,3935.0,"[882, 405, 364, 304, 288, 242, 97, 81, 61, 16, 0]"
28,1016.0,"[364, 251, 104, 53, 40, 21, 18, 0, 0, 0]"
29,806.0,"[882, 720, 282, 62, 36, 16, 0]"
30,230.0,"[902, 300, 91, 21, 16, 0]"
31,180.0,"[387, 263, 89]"
32,1028.0,"[356, 337, 307, 297, 274, 182, 103, 94, 83, 42, 40, 36, 27, 18, 0]"
33,273.0,"[405, 364, 21, 0]"
34,264.0,"[562, 405, 364, 19, 0, 0]"
35,93.0,"[882, 575, 0]"
36,1125.0,"[575, 405, 393, 388, 322, 258, 242, 140, 97, 0]"
37,506.0,"[575, 405, 395, 364, 288, 263, 258, 247, 242, 236, 236, 97, 57, 53, 0, 0]"
38,499.0,"[447, 405, 364, 288, 242, 81, 16, 0]"
39,992.0,"[575, 527, 452, 405, 388, 335, 258, 242, 97, 48]"
40,279.0,"[575, 405, 290, 145, 30, 0]"
41,1362.0,"[575, 405, 258, 242, 153, 97, 69, 48, 21, 0]"
42,444.0,"[720, 575, 500, 362, 288, 282, 270, 250, 247, 32, 21, 0]"
43,383.0,"[405, 400, 322, 288, 250, 82, 48, 16]"
44,255.0,"[575, 562, 405, 381, 322, 288, 258, 228, 200, 61]"
45,981.0,"[720, 575, 405, 375, 310, 288, 242, 97, 48, 45, 16, 0]"
46,416.0,"[575, 529, 405, 352, 242, 61, 50, 0]"
47,1018.0,"[882, 692, 575, 405, 388, 381, 352, 251, 117, 111, 67, 61, 27, 23, 21, 0]"
48,483.0,"[575, 405, 282, 267, 236, 97, 46, 32, 21, 17, 0]"
49,501.0,"[575, 405, 364, 288, 258, 247, 97, 71, 16, 0]"
